Date,Balance,Equity
2023-06-30,2500,2500
2023-07-01,2500,2500
2023-07-02,2500,2500
2023-07-03,2500,2500
2023-07-04,2500,2500
2023-07-05,2500,2500
2023-07-06,2500,2500
2023-07-07,2500,2500
2023-07-08,2500,2500
2023-07-09,2500,2500
2023-07-10,2500,2500
2023-07-11,2500,2500
2023-07-12,2500,2500
2023-07-13,2500,2508
2023-07-14,2524,2524
2023-07-15,2524,2524
2023-07-16,2524,2524
2023-07-17,2524,2524
2023-07-18,2524,2524
2023-07-19,2524,2529
2023-07-20,2587,2494
2023-07-21,2504,2504
2023-07-22,2504,2504
2023-07-23,2504,2504
2023-07-24,2602,2626
2023-07-25,2697,2697
2023-07-26,2697,2697
2023-07-27,2697,2697
2023-07-28,2654,2654
2023-07-29,2654,2654
2023-07-30,2654,2654
2023-07-31,2654,2654
2023-08-01,2654,2654
2023-08-02,2654,2654
2023-08-03,2654,2635
2023-08-04,2765,2765
2023-08-05,2765,2765
2023-08-06,2765,2765
2023-08-07,2765,2765
2023-08-08,2765,2765
2023-08-09,2765,2785
2023-08-10,2794,2794
2023-08-11,2794,2794
2023-08-12,2794,2794
2023-08-13,2794,2794
2023-08-14,2794,2796
2023-08-15,2899,2899
2023-08-16,2899,2899
2023-08-17,2899,2745
2023-08-18,2762,2762
2023-08-19,2762,2762
2023-08-20,2762,2762
2023-08-21,2762,2762
2023-08-22,2762,2762
2023-08-23,2762,2762
2023-08-24,2762,2826
2023-08-25,2875,2875
2023-08-26,2875,2875
2023-08-27,2875,2875
2023-08-28,2894,2894
2023-08-29,2894,2894
2023-08-30,2894,2894
2023-08-31,2935,2935
2023-09-01,2935,2935
2023-09-02,2935,2935
2023-09-03,2935,2935
2023-09-04,2935,2935
2023-09-05,2935,2935
2023-09-06,2935,2935
2023-09-07,2935,3003
2023-09-08,2784,2784
2023-09-09,2784,2784
2023-09-10,2784,2784
2023-09-11,2784,2784
2023-09-12,2784,2784
2023-09-13,2784,2784
2023-09-14,2784,2785
2023-09-15,2817,2817
2023-09-16,2817,2817
2023-09-17,2817,2817
2023-09-18,2817,2817
2023-09-19,2817,2786
2023-09-20,2763,2763
2023-09-21,2763,2832
2023-09-22,2759,2759
2023-09-23,2759,2759
2023-09-24,2759,2759
2023-09-25,2774,2774
2023-09-26,2774,2774
2023-09-27,2774,2774
2023-09-28,2774,2774
2023-09-29,2799,2799
2023-09-30,2799,2799
2023-10-01,2799,2799
2023-10-02,2799,2799
2023-10-03,2799,2799
2023-10-04,2799,2799
2023-10-05,2799,2799
2023-10-06,2799,2799
2023-10-07,2799,2799
2023-10-08,2799,2799
2023-10-09,2799,2754
2023-10-10,2894,2894
2023-10-11,2894,2894
2023-10-12,2894,2904
2023-10-13,2942,2942
2023-10-14,2942,2942
2023-10-15,2942,2942
2023-10-16,2942,2942
2023-10-17,2942,2942
2023-10-18,2942,2942
2023-10-19,2942,2941
2023-10-20,2921,2921
2023-10-21,2921,2921
2023-10-22,2921,2921
2023-10-23,2890,2890
2023-10-24,2890,2880
2023-10-25,2921,2921
2023-10-26,2921,2921
2023-10-27,2966,2966
2023-10-28,2966,2966
2023-10-29,2966,2966
2023-10-30,3006,3006
2023-10-31,3019,3019
2023-11-01,3019,3019
2023-11-02,3019,3019
2023-11-03,3019,3019
2023-11-04,3019,3019
2023-11-05,3019,3019
2023-11-06,3019,3019
2023-11-07,3019,3019
2023-11-08,3019,3019
2023-11-09,3019,3019
2023-11-10,3019,3019
2023-11-11,3019,3019
2023-11-12,3019,3019
2023-11-13,3019,3019
2023-11-14,3019,3062
2023-11-15,3081,3081
2023-11-16,3081,3081
2023-11-17,3148,3148
2023-11-18,3148,3148
2023-11-19,3148,3148
2023-11-20,3148,3148
2023-11-21,3148,3148
2023-11-22,3148,3148
2023-11-23,3148,3110
2023-11-24,3111,3111
2023-11-25,3111,3111
2023-11-26,3111,3111
2023-11-27,3278,3278
2023-11-28,3278,3278
2023-11-29,3278,3278
2023-11-30,3262,3262
2023-12-01,3262,3262
2023-12-02,3262,3262
2023-12-03,3262,3262
2023-12-04,3262,3262
2023-12-05,3262,3262
2023-12-06,3262,3262
2023-12-07,3476,3476
2023-12-08,3476,3476
2023-12-09,3476,3476
2023-12-10,3476,3476
2023-12-11,3476,3476
2023-12-12,3476,3476
2023-12-13,3476,3476
2023-12-14,3476,3647
2023-12-15,3761,3761
2023-12-16,3761,3761
2023-12-17,3761,3761
2023-12-18,3761,3761
2023-12-19,3761,3774
2023-12-20,3879,3879
2023-12-21,3879,3828
2023-12-22,3790,3790
2023-12-23,3790,3790
2023-12-24,3790,3790
2023-12-25,3790,3790
2023-12-26,3790,3790
2023-12-27,3790,3790
2023-12-28,3790,3790
2023-12-29,3898,3898
2023-12-30,3898,3898
2023-12-31,3898,3898
2024-01-01,3898,3898
2024-01-02,3898,3898
2024-01-03,3898,3898
2024-01-04,3898,3898
2024-01-05,3898,3898
2024-01-06,3898,3898
2024-01-07,3898,3898
2024-01-08,3898,3898
2024-01-09,3898,3937
2024-01-10,3937,3937
2024-01-11,3937,3722
2024-01-12,3629,3629
2024-01-13,3629,3629
2024-01-14,3629,3629
2024-01-15,3629,3629
2024-01-16,3629,3629
2024-01-17,3629,3629
2024-01-18,3629,3566
2024-01-19,3535,3535
2024-01-20,3535,3535
2024-01-21,3535,3535
2024-01-22,3535,3535
2024-01-23,3535,3535
2024-01-24,3535,3574
2024-01-25,3638,3638
2024-01-26,3569,3569
2024-01-27,3569,3569
2024-01-28,3569,3569
2024-01-29,3594,3594
2024-01-30,3594,3594
2024-01-31,3538,3538
2024-02-01,3538,3538
2024-02-02,3538,3538
2024-02-03,3538,3538
2024-02-04,3538,3538
2024-02-05,3538,3538
2024-02-06,3538,3538
2024-02-07,3538,3538
2024-02-08,3538,3550
2024-02-09,3519,3519
2024-02-10,3519,3519
2024-02-11,3519,3519
2024-02-12,3519,3519
2024-02-13,3519,3519
2024-02-14,3519,3433
2024-02-15,3535,3632
2024-02-16,3584,3584
2024-02-17,3584,3584
2024-02-18,3584,3584
2024-02-19,3584,3628
2024-02-20,3613,3613
2024-02-21,3613,3613
2024-02-22,3613,3613
2024-02-23,3613,3613
2024-02-24,3613,3613
2024-02-25,3613,3613
2024-02-26,3622,3622
2024-02-27,3622,3622
2024-02-28,3622,3622
2024-02-29,3622,3622
2024-03-01,3622,3622
2024-03-02,3622,3622
2024-03-03,3622,3622
2024-03-04,3622,3622
2024-03-05,3622,3622
2024-03-06,3622,3622
2024-03-07,3622,3508
2024-03-08,3511,3511
2024-03-09,3511,3511
2024-03-10,3511,3511
2024-03-11,3511,3511
2024-03-12,3511,3511
2024-03-13,3511,3511
2024-03-14,3511,3516
2024-03-15,3541,3541
2024-03-16,3541,3541
2024-03-17,3541,3541
2024-03-18,3541,3541
2024-03-19,3541,3541
2024-03-20,3541,3541
2024-03-21,3541,3518
2024-03-22,3389,3389
2024-03-23,3389,3389
2024-03-24,3389,3389
2024-03-25,3410,3410
2024-03-26,3410,3410
2024-03-27,3410,3410
2024-03-28,3410,3410
2024-03-29,3396,3396
2024-03-30,3396,3396
2024-03-31,3396,3396
2024-04-01,3396,3396
2024-04-02,3396,3396
2024-04-03,3396,3396
2024-04-04,3396,3277
2024-04-05,3113,3113
2024-04-06,3113,3113
2024-04-07,3113,3113
2024-04-08,3113,3113
2024-04-09,3113,3123
2024-04-10,3097,3097
2024-04-11,3097,3111
2024-04-12,2980,2980
2024-04-13,2980,2980
2024-04-14,2980,2980
2024-04-15,2980,2980
2024-04-16,2980,2980
2024-04-17,2980,2980
2024-04-18,2980,2971
2024-04-19,3051,3051
2024-04-20,3051,3051
2024-04-21,3051,3051
2024-04-22,3051,3051
2024-04-23,3051,3051
2024-04-24,3051,3055
2024-04-25,3064,3064
2024-04-26,3014,3014
2024-04-27,3014,3014
2024-04-28,3014,3014
2024-04-29,3014,3014
2024-04-30,2959,2959
2024-05-01,2959,2959
2024-05-02,2959,2959
2024-05-03,2959,2959
2024-05-04,2959,2959
2024-05-05,2959,2959
2024-05-06,2959,2959
2024-05-07,2959,2959
2024-05-08,2959,2959
2024-05-09,2959,2914
2024-05-10,2944,2944
2024-05-11,2944,2944
2024-05-12,2944,2944
2024-05-13,2944,2944
2024-05-14,2944,2959
2024-05-15,2963,2963
2024-05-16,2963,2955
2024-05-17,2929,2929
2024-05-18,2929,2929
2024-05-19,2929,2929
2024-05-20,2929,2929
2024-05-21,2929,2929
2024-05-22,2929,2929
2024-05-23,2929,2939
2024-05-24,2964,2964
2024-05-25,2964,2964
2024-05-26,2964,2964
2024-05-27,2987,2987
2024-05-28,2987,2987
2024-05-29,2987,2987
2024-05-30,2987,2987
2024-05-31,2961,2961
2024-06-01,2961,2961
2024-06-02,2961,2961
2024-06-03,2961,2961
2024-06-04,2961,2961
2024-06-05,2961,2961
2024-06-06,2961,2961
2024-06-07,2961,2961
2024-06-08,2961,2961
2024-06-09,2961,2961
2024-06-10,2961,2961
2024-06-11,2961,2961
2024-06-12,2961,2961
2024-06-13,2961,3033
2024-06-14,3030,3030
